Power (Watts),Official Name of Satellite
1200,Measat 2
1400,Iridium 59
1400,Iridium 6
1400,Iridium 60
1400,Iridium 61
1400,Iridium 62
1400,Iridium 64
1400,Iridium 65
1400,Iridium 66
1400,Iridium 67
1400,Iridium 68
1400,Iridium 7
1400,Iridium 70
1400,Iridium 72
1400,Iridium 74
1400,Iridium 75
1400,Iridium 76
1400,Iridium 77
1400,Iridium 98
1400,Iridium 97
1400,Iridium 96
1400,Iridium 95
1400,Iridium 94
1400,Iridium 91
1400,Iridium 58
1400,Iridium 90
1400,Iridium 84
1400,Iridium 83
1400,Iridium 82
1400,Iridium 81
1400,Iridium 80
1400,Iridium 8
1400,Iridium 86
1400,Iridium 57
1400,Iridium 19
1400,Iridium 55
1400,Iridium 32
1400,Iridium 31
1400,Iridium 30
1400,Iridium 3
1400,Iridium 25
1400,Iridium 23
1400,Iridium 34
1400,Iridium 22
1400,Iridium 11A
1400,Iridium 12
1400,Iridium 13
1400,Iridium 14A
1400,Iridium 15
1400,Iridium 18
1400,Iridium 10
1400,Iridium 21A
1400,Iridium 35
1400,Iridium 39
1400,Iridium 54
1400,Iridium 53
1400,Iridium 52
1400,Iridium 51
1400,Iridium 50
1400,Iridium 5
1400,Iridium 37
1400,Iridium 49
1400,Iridium 46
1400,Iridium 45
1400,Iridium 43
1400,Iridium 42
1400,Iridium 41
1400,Iridium 40
1400,Iridium 47
1400,Iridium 56
1400,Iridium 20A
1800,Brazilsat B-4
1800,Brazilsat B-3
1800,Brazilsat B-2
1900,Amos 2
100,SOCRATES
100,Project for On-Board Autonomy (Proba 1)
1000,Cosmos 2459
1000,Hinode
1000,TacSat 4
1000,Cosmos 2500
1000,Cosmos 2491
1000,Cosmos 2516
1000,Cosmos 2485
1000,Cosmos 2478
1000,Cosmos 2475
1000,Cosmos 2514
1000,Cosmos 2477
1000,Cosmos 2460
1000,Cosmos 2457
1000,Cosmos 2461
1000,Cosmos 2464
1000,Cosmos 2465
1000,Cosmos 2466
1000,Cosmos 2474
1000,Cosmos 2458
1000,Cosmos 2456
1000,Cosmos 2476
10000,Galaxy-16
10000,WildBlue 1
10000,Echostar 8 
10000,AsiaSat-3S
10000,Echostar 3 
10000,Intelsat 905
10000,Eutelsat 9A
10000,NSS-6
10000,Anik F1R
10000,Intelsat 907
10000,Astra 3B
10000,AMC-9
10000,Intelsat 901
10000,Echostar 10
1040,Swift
10400,Galaxy-11
10500,Apstar 9
10500,Star 1 C1
10600,Telstar 12
10600,Optus and Defence C1
1065,SMOS
10800,Measat 3
110,CFESat
1100,CartoSat 1
11000,Eutelsat Hot Bird 13D
11000,Eutelsat KA-SAT 9A
11000,Intelsat 25
11000,Intelsat 10-02
11000,Eutelsat 5 West A
11000,Thuraya 2
11000,BermudaSat-1
1136,USA 239
1136,USA 251
1136,USA 256
1136,USA 258
1136,USA 262
1136,USA 260
1136,USA 242
1136,USA 175
1136,USA 248
1136,USA 177
1136,USA 206
1136,USA 178
1136,USA 180
1136,USA 201
1136,USA 132
1136,USA 196
1136,USA 145
1136,USA 150
1136,USA 183
1136,USA 168
1136,USA 166
1136,USA 156
1136,USA 151
1136,USA 154
1174,Coriolis
12690,Eutelsat 117 West A
12690,Eutelsat 113 West-A
120,Gonets M-20
120,Gonets M-16
120,Gonets M-14
120,Gonets M-13
120,Gonets M-12
120,SDS-4
120,Gonets M-19
120,Gonets M-11
120,Gonets M-05
120,Gonets M-04
120,Gonets M-03
120,Gonets D1-14
120,Bispectral InfraRed Detector 2 (Bird 2)
120,DLR Tubsat
120,Gonets M-17
120,Gonets M-18
1200,KazEOSat-1
1200,IRS-P6
1200,Skynet 4C
1200,NATO-4B
1200,Skynet 4E
1200,Skynet 4F
12000,Alphasat I-XL
12000,Astra 1KR
12000,Telstar 14R
12000,Nimiq 4
12000,Eutelsat 7 West A
12000,Intelsat 12
12300,Spaceway F1
12300,Spaceway F2
1240,USA 113
1240,USA 167
1240,USA 170
1240,USA 135
1240,USA 148
1240,USA 153
12700,SES-9
1300,Kompsat-3
1300,Kompsat-3A
13000,USA 263
13000,USA 244
13000,USA 243
13000,USA 233
13000,USA 211
13000,USA 204
13000,USA 195
13000,DirecTV-7S
13000,Eutelsat 117 West B
13000,INMARSAT 4 F1
13000,Astra 1L
13000,INMARSAT 4 F2
13000,Echostar 7 
13000,INMARSAT 4 F3
13000,Eutelsat 172A
13000,INMARSAT 5 F1
13000,INMARSAT 5 F2
